cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url
cord-000000,sha000000,PMC,Coronavirus Clinical Diagnosis Study,10.1000/sample.0,,25526124.0,,Further research is needed to confirm these findings. We analyzed data from multiple sources. This study investigates COVID-19 related phenomena.,2020-01-14,"Author 0, Co-Author 0",Journal of Medical Virology,,,,document_parses/pdf_json/0.json,,https://example.com/paper/0
cord-000001,,medRxiv,Antiviral Epidemiology Prevention Outbreak Infection Study,,,82567218.0,,The implications for public health are discussed. Results show significant findings regarding SARS-CoV-2. Further research is needed to confirm these findings.,2020-07-11,"Author 1, Co-Author 1",Journal of Medical Virology,,,,document_parses/pdf_json/1.json,,
cord-000002,,PubMed,Vaccine Antibody Study,10.1000/sample.2,,,no-cc,This study investigates COVID-19 related phenomena. Results show significant findings regarding SARS-CoV-2.,2020-11-26,"Author 2, Co-Author 2",,,,,document_parses/pdf_json/2.json,document_parses/pmc_json/2.json,
cord-000003,,arXiv,Therapy Clinical Study,10.1000/sample.3,PMC6690441,,cc-by,The implications for public health are discussed. This study investigates COVID-19 related phenomena. We analyzed data from multiple sources. Further research is needed to confirm these findings.,2021-03-22,"Author 3, Co-Author 3",The Lancet,2034595927.0,,2020.9561,,,https://example.com/paper/3
cord-000004,sha000004,medRxiv,Vaccine Treatment Clinical Infection Study,10.1000/sample.4,PMC3213242,98549488.0,cc-by-nc,Further research is needed to confirm these findings. The implications for public health are discussed. We analyzed data from multiple sources.,2021-04-26,"Author 4, Co-Author 4",Clinical Infectious Diseases,,,,,,
cord-000005,sha000005,PubMed,Pandemic Epidemiology Study,10.1000/sample.5,,24155900.0,no-cc,Results show significant findings regarding SARS-CoV-2. The implications for public health are discussed.,2021-08-14,"Author 5, Co-Author 5",,7567013597.0,,,,,
cord-000006,sha000006,PMC,Diagnosis Treatment Epidemiology Study,,PMC8263354,13922081.0,cc-by,Further research is needed to confirm these findings. This study investigates COVID-19 related phenomena. The implications for public health are discussed. We analyzed data from multiple sources.,2021-11-03,"Author 6, Co-Author 6",,,WHO-3431,,,document_parses/pmc_json/6.json,
cord-000007,,WHO,Transmission Immunity Diagnosis Prevention Study,10.1000/sample.7,,,cc-by-nc,We analyzed data from multiple sources. This study investigates COVID-19 related phenomena. The implications for public health are discussed.,2021-05-03,"Author 7, Co-Author 7",Science,,WHO-6886,,document_parses/pdf_json/7.json,document_parses/pmc_json/7.json,https://example.com/paper/7
cord-000008,sha000008,PubMed,Symptoms Infection Study,10.1000/sample.8,,61471131.0,cc-by,We analyzed data from multiple sources. Further research is needed to confirm these findings.,,"Author 8, Co-Author 8",Vaccine,8420690757.0,WHO-1024,,,document_parses/pmc_json/8.json,https://example.com/paper/8
cord-000009,,Elsevier,Vaccine Diagnosis Coronavirus Symptoms Study,10.1000/sample.9,,39578370.0,no-cc,This study investigates COVID-19 related phenomena. The implications for public health are discussed.,2021-06-07,"Author 9, Co-Author 9",PLOS ONE,6448436558.0,WHO-4568,,,,
